candidate,state,debate,rank
Jim Gilmore,MI,2,8
Jim Gilmore,MI,3,3
Lindsey Graham,MI,1,14
Lindsey Graham,MI,2,8
Lindsey Graham,MI,3,13
Mike Huckabee,MI,1,2
Mike Huckabee,MI,2,10
Mike Huckabee,MI,3,5
Bobby Jindal,MI,1,15
Bobby Jindal,MI,2,2
Bobby Jindal,MI,3,15
John Kasich,MI,1,12
John Kasich,MI,2,3
John Kasich,MI,3,7
George Pataki,MI,1,7
George Pataki,MI,2,12
George Pataki,MI,3,13
Rand Paul,MI,1,11
Rand Paul,MI,2,5
Rand Paul,MI,3,1
Marco Rubio,MI,1,3
Marco Rubio,MI,2,7
Marco Rubio,MI,3,11
Rick Santorum,MI,1,8
Rick Santorum,MI,2,8
Rick Santorum,MI,3,6
Donald Trump,MI,1,2
Donald Trump,MI,2,4
Donald Trump,MI,3,7
Jeb Bush,MN,1,1
Jeb Bush,MN,2,5
Jeb Bush,MN,3,13
Ben Carson,MN,1,10
Ben Carson,MN,2,15
Ben Carson,MN,3,12
Chris Christie,MN,1,12
Chris Christie,MN,2,13
Chris Christie,MN,3,12
Ted Cruz,MN,1,2
Ted Cruz,MN,2,7
Ted Cruz,MN,3,9
Carly Fiorina,MN,1,11
Carly Fiorina,MN,2,10
Carly Fiorina,MN,3,3
Jim Gilmore,MN,1,6
Jim Gilmore,MN,2,14
Jim Gilmore,MN,3,12
Lindsey Graham,MN,1,8
Lindsey Graham,MN,2,4
Lindsey Graham,MN,3,12
Mike Huckabee,MN,1,8
Mike Huckabee,MN,2,3
Mike Huckabee,MN,3,11
Bobby Jindal,MN,1,7
Bobby Jindal,MN,2,11
Bobby Jindal,MN,3,12
John Kasich,MN,1,15
John Kasich,MN,2,14
John Kasich,MN,3,3
George Pataki,MN,1,3
George Pataki,MN,2,1
George Pataki,MN,3,5
Rand Paul,MN,1,10
Rand Paul,MN,2,10
Rand Paul,MN,3,7
Marco Rubio,MN,1,6
Marco Rubio,MN,2,2
Marco Rubio,MN,3,3
Rick Santorum,MN,1,7
Rick Santorum,MN,2,9
Rick Santorum,MN,3,13
Donald Trump,MN,1,3
Donald Trump,MN,2,4
Donald Trump,MN,3,8
Jeb Bush,MS,1,12
Jeb Bush,MS,2,3
Jeb Bush,MS,3,2
Ben Carson,MS,1,14
Ben Carson,MS,2,7
Ben Carson,MS,3,5
Chris Christie,MS,1,12
Chris Christie,MS,2,8
Chris Christie,MS,3,5
Ted Cruz,MS,1,12
Ted Cruz,MS,2,7
Ted Cruz,MS,3,7
Carly Fiorina,MS,1,7
Carly Fiorina,MS,2,6
Carly Fiorina,MS,3,7
Jim Gilmore,MS,1,10
Jim Gilmore,MS,2,3
Jim Gilmore,MS,3,8
Lindsey Graham,MS,1,6
Lindsey Graham,MS,2,7
Lindsey Graham,MS,3,10
Mike Huckabee,MS,1,8
Mike Huckabee,MS,2,6
Mike Huckabee,MS,3,15
Bobby Jindal,MS,1,10
Bobby Jindal,MS,2,2
Bobby Jindal,MS,3,7
John Kasich,MS,1,9
John Kasich,MS,2,10
John Kasich,MS,3,14
George Pataki,MS,1,3
George Pataki,MS,2,4
George Pataki,MS,3,2
Rand Paul,MS,1,8
Rand Paul,MS,2,14
Rand Paul,MS,3,1
Marco Rubio,MS,1,6
Marco Rubio,MS,2,3
Marco Rubio,MS,3,2
Rick Santorum,MS,1,6
Rick Santorum,MS,2,13
Rick Santorum,MS,3,13
Donald Trump,MS,1,1
Donald Trump,MS,2,15
Donald Trump,MS,3,9
Jeb Bush,MO,1,10
Jeb Bush,MO,2,2
Jeb Bush,MO,3,7
Ben Carson,MO,1,8
Ben Carson,MO,2,14
Ben Carson,MO,3,15
Chris Christie,MO,1,4
Chris Christie,MO,2,8
Chris Christie,MO,3,8
Ted Cruz,MO,1,6
Ted Cruz,MO,2,7
Ted Cruz,MO,3,11
Carly Fiorina,MO,1,1
Carly Fiorina,MO,2,5
Carly Fiorina,MO,3,9
Jim Gilmore,MO,1,10
Jim Gilmore,MO,2,3
Jim Gilmore,MO,3,8
Lindsey Graham,MO,1,2
Lindsey Graham,MO,2,1
Lindsey Graham,MO,3,6
Mike Huckabee,MO,1,6
Mike Huckabee,MO,2,15
Mike Huckabee,MO,3,2
Bobby Jindal,MO,1,3
Bobby Jindal,MO,2,6
Bobby Jindal,MO,3,10
John Kasich,MO,1,5
John Kasich,MO,2,8
John Kasich,MO,3,12
George Pataki,MO,1,5
George Pataki,MO,2,5
George Pataki,MO,3,5
Rand Paul,MO,1,1
Rand Paul,MO,2,7
Rand Paul,MO,3,5
Marco Rubio,MO,1,14
Marco Rubio,MO,2,11
Marco Rubio,MO,3,12
Rick Santorum,MO,1,12
Rick Santorum,MO,2,11
Rick Santorum,MO,3,10
Donald Trump,MO,1,6
Donald Trump,MO,2,12
Donald Trump,MO,3,5
Jeb Bush,MT,1,3
Jeb Bush,MT,2,10
Jeb Bush,MT,3,11
Ben Carson,MT,1,8
Ben Carson,MT,2,8
Ben Carson,MT,3,10
Chris Christie,MT,1,15
Chris Christie,MT,2,10
Chris Christie,MT,3,12
Ted Cruz,MT,1,6
Ted Cruz,MT,2,7
Ted Cruz,MT,3,3
Carly Fiorina,MT,1,11
Carly Fiorina,MT,2,8
Carly Fiorina,MT,3,13
Jim Gilmore,MT,1,3
Jim Gilmore,MT,2,7
Jim Gilmore,MT,3,7
Lindsey Graham,MT,1,6
Lindsey Graham,MT,2,4
Lindsey Graham,MT,3,14
Mike Huckabee,MT,1,12
Mike Huckabee,MT,2,11
Mike Huckabee,MT,3,8
Bobby Jindal,MT,1,15
Bobby Jindal,MT,2,15
Bobby Jindal,MT,3,2
John Kasich,MT,1,15
John Kasich,MT,2,14
John Kasich,MT,3,13
George Pataki,MT,1,8
George Pataki,MT,2,13
George Pataki,MT,3,10
Rand Paul,MT,1,5
Rand Paul,MT,2,15
Rand Paul,MT,3,9
Marco Rubio,MT,1,9
Marco Rubio,MT,2,3
Marco Rubio,MT,3,9
Rick Santorum,MT,1,9
Rick Santorum,MT,2,13
Rick Santorum,MT,3,11
Donald Trump,MT,1,5
Donald Trump,MT,2,14
Donald Trump,MT,3,9
Jeb Bush,NE,1,14
Jeb Bush,NE,2,7
Jeb Bush,NE,3,12
Ben Carson,NE,1,3
Ben Carson,NE,2,6
Ben Carson,NE,3,12
Chris Christie,NE,1,2
Chris Christie,NE,2,14
Chris Christie,NE,3,2
Ted Cruz,NE,1,14
Ted Cruz,NE,2,14
Ted Cruz,NE,3,7
Carly Fiorina,NE,1,2
Carly Fiorina,NE,2,13
Carly Fiorina,NE,3,6
Jim Gilmore,NE,1,12
Jim Gilmore,NE,2,13
Jim Gilmore,NE,3,15
Lindsey Graham,NE,1,8
Lindsey Graham,NE,2,13
Lindsey Graham,NE,3,12
Mike Huckabee,NE,1,6
Mike Huckabee,NE,2,4
Mike Huckabee,NE,3,9
Bobby Jindal,NE,1,1
Bobby Jindal,NE,2,10
Bobby Jindal,NE,3,8
John Kasich,NE,1,7
John Kasich,NE,2,8
John Kasich,NE,3,8
George Pataki,NE,1,3
George Pataki,NE,2,2
George Pataki,NE,3,13
Rand Paul,NE,1,7
Rand Paul,NE,2,6
Rand Paul,NE,3,9
Marco Rubio,NE,1,1
Marco Rubio,NE,2,5
Marco Rubio,NE,3,10
Rick Santorum,NE,1,9
Rick Santorum,NE,2,5
Rick Santorum,NE,3,12
Donald Trump,NE,1,6
Donald Trump,NE,2,13
Donald Trump,NE,3,5
Jeb Bush,NV,1,5
Jeb Bush,NV,2,11
Jeb Bush,NV,3,6
Ben Carson,NV,1,12
Ben Carson,NV,2,7
Ben Carson,NV,3,14
Chris Christie,NV,1,7
Chris Christie,NV,2,1
Chris Christie,NV,3,5
Ted Cruz,NV,1,14
Ted Cruz,NV,2,4
Ted Cruz,NV,3,1
Carly Fiorina,NV,1,6
Carly Fiorina,NV,2,5
Carly Fiorina,NV,3,4
Jim Gilmore,NV,1,10
Jim Gilmore,NV,2,2
Jim Gilmore,NV,3,6
Lindsey Graham,NV,1,5
Lindsey Graham,NV,2,10
Lindsey Graham,NV,3,9
Mike Huckabee,NV,1,12
Mike Huckabee,NV,2,15
Mike Huckabee,NV,3,12
Bobby Jindal,NV,1,8
Bobby Jindal,NV,2,4
Bobby Jindal,NV,3,13
John Kasich,NV,1,14
John Kasich,NV,2,1
John Kasich,NV,3,10
George Pataki,NV,1,15
George Pataki,NV,2,2
George Pataki,NV,3,6
Rand Paul,NV,1,13
Rand Paul,NV,2,12
Rand Paul,NV,3,8
Marco Rubio,NV,1,7
Marco Rubio,NV,2,2
Marco Rubio,NV,3,15
Rick Santorum,NV,1,15
Rick Santorum,NV,2,9
Rick Santorum,NV,3,6
Donald Trump,NV,1,8
Donald Trump,NV,2,13
Donald Trump,NV,3,3
Jeb Bush,NH,1,12
Jeb Bush,NH,2,4
Jeb Bush,NH,3,8
Ben Carson,NH,1,12
Ben Carson,NH,2,12
Ben Carson,NH,3,13
Chris Christie,NH,1,13
Chris Christie,NH,2,13
Chris Christie,NH,3,4
Ted Cruz,NH,1,8
Ted Cruz,NH,2,11
Ted Cruz,NH,3,5
Carly Fiorina,NH,1,8
Carly Fiorina,NH,2,5
Carly Fiorina,NH,3,4
Jim Gilmore,NH,1,15
Jim Gilmore,NH,2,6
Jim Gilmore,NH,3,7
Lindsey Graham,NH,1,14
Lindsey Graham,NH,2,2
Lindsey Graham,NH,3,2
Mike Huckabee,NH,1,4
Mike Huckabee,NH,2,3
Mike Huckabee,NH,3,7
Bobby Jindal,NH,1,4
Bobby Jindal,NH,2,1
Bobby Jindal,NH,3,6
John Kasich,NH,1,6
John Kasich,NH,2,5
John Kasich,NH,3,2
George Pataki,NH,1,7
George Pataki,NH,2,13
George Pataki,NH,3,11
Rand Paul,NH,1,4
Rand Paul,NH,2,3
Rand Paul,NH,3,2
Marco Rubio,NH,1,6
Marco Rubio,NH,2,10
Marco Rubio,NH,3,6
Rick Santorum,NH,1,6
Rick Santorum,NH,2,14
Rick Santorum,NH,3,13
Donald Trump,NH,1,15
Donald Trump,NH,2,11
Donald Trump,NH,3,7
Jeb Bush,NJ,1,1
Jeb Bush,NJ,2,1
Jeb Bush,NJ,3,7
Ben Carson,NJ,1,3
Ben Carson,NJ,2,11
Ben Carson,NJ,3,5
Chris Christie,NJ,1,2
Chris Christie,NJ,2,7
Chris Christie,NJ,3,4
Ted Cruz,NJ,1,8
Ted Cruz,NJ,2,9
Ted Cruz,NJ,3,3
Carly Fiorina,NJ,1,3
Carly Fiorina,NJ,2,7
Carly Fiorina,NJ,3,8
Jim Gilmore,NJ,1,7
Jim Gilmore,NJ,2,11
Jim Gilmore,NJ,3,12
Lindsey Graham,NJ,1,2
Lindsey Graham,NJ,2,5
Lindsey Graham,NJ,3,5
Mike Huckabee,NJ,1,12
Mike Huckabee,NJ,2,1
Mike Huckabee,NJ,3,14
Bobby Jindal,NJ,1,6
Bobby Jindal,NJ,2,1
Bobby Jindal,NJ,3,13
John Kasich,NJ,1,2
John Kasich,NJ,2,1
John Kasich,NJ,3,2
George Pataki,NJ,1,2
George Pataki,NJ,2,10
George Pataki,NJ,3,2
Rand Paul,NJ,1,4
Rand Paul,NJ,2,10
Rand Paul,NJ,3,7
Marco Rubio,NJ,1,7
Marco Rubio,NJ,2,10
Marco Rubio,NJ,3,14
Rick Santorum,NJ,1,10
Rick Santorum,NJ,2,4
Rick Santorum,NJ,3,4
Donald Trump,NJ,1,5
Donald Trump,NJ,2,1
Donald Trump,NJ,3,5
Jeb Bush,NM,1,13
Jeb Bush,NM,2,4
Jeb Bush,NM,3,15
Ben Carson,NM,1,2
Ben Carson,NM,2,15
Ben Carson,NM,3,4
Chris Christie,NM,1,10
Chris Christie,NM,2,13
Chris Christie,NM,3,15
Ted Cruz,NM,1,12
Ted Cruz,NM,2,8
Ted Cruz,NM,3,9
Carly Fiorina,NM,1,2
Carly Fiorina,NM,2,7
Carly Fiorina,NM,3,3
Jim Gilmore,NM,1,3
Jim Gilmore,NM,2,6
Jim Gilmore,NM,3,11
Lindsey Graham,NM,1,2
Lindsey Graham,NM,2,7
Lindsey Graham,NM,3,8
Mike Huckabee,NM,1,4
Mike Huckabee,NM,2,4
Mike Huckabee,NM,3,9
Bobby Jindal,NM,1,13
Bobby Jindal,NM,2,6
Bobby Jindal,NM,3,12
John Kasich,NM,1,4
John Kasich,NM,2,12
John Kasich,NM,3,4
George Pataki,NM,1,2
George Pataki,NM,2,5
George Pataki,NM,3,11
Rand Paul,NM,1,5
Rand Paul,NM,2,7
Rand Paul,NM,3,3
Marco Rubio,NM,1,8
Marco Rubio,NM,2,14
Marco Rubio,NM,3,8
Rick Santorum,NM,1,8
Rick Santorum,NM,2,11
Rick Santorum,NM,3,7
Donald Trump,NM,1,15
Donald Trump,NM,2,9
Donald Trump,NM,3,13
Jeb Bush,NY,1,9
Jeb Bush,NY,2,15
Jeb Bush,NY,3,10
Ben Carson,NY,1,13
Ben Carson,NY,2,10
Ben Carson,NY,3,11
Chris Christie,NY,1,10
Chris Christie,NY,2,10
Chris Christie,NY,3,8
Ted Cruz,NY,1,11
Ted Cruz,NY,2,6
Ted Cruz,NY,3,4
Carly Fiorina,NY,1,14
Carly Fiorina,NY,2,12
Carly Fiorina,NY,3,14
Jim Gilmore,NY,1,2
Jim Gilmore,NY,2,2
Jim Gilmore,NY,3,14
Lindsey Graham,NY,1,6
Lindsey Graham,NY,2,7
Lindsey Graham,NY,3,6
Mike Huckabee,NY,1,7
Mike Huckabee,NY,2,2
Mike Huckabee,NY,3,5
Bobby Jindal,NY,1,12
Bobby Jindal,NY,2,9
Bobby Jindal,NY,3,9
John Kasich,NY,1,7
John Kasich,NY,2,9
John Kasich,NY,3,13
George Pataki,NY,1,9
George Pataki,NY,2,12
George Pataki,NY,3,11
Rand Paul,NY,1,3
Rand Paul,NY,2,14
Rand Paul,NY,3,11
Marco Rubio,NY,1,1
Marco Rubio,NY,2,14
Marco Rubio,NY,3,10
Rick Santorum,NY,1,7
Rick Santorum,NY,2,14
Rick Santorum,NY,3,12
Donald Trump,NY,1,4
Donald Trump,NY,2,6
Donald Trump,NY,3,4
Jeb Bush,NC,1,11
Jeb Bush,NC,2,6
Jeb Bush,NC,3,4
Ben Carson,NC,1,13
Ben Carson,NC,2,14
Ben Carson,NC,3,11
Chris Christie,NC,1,9
Chris Christie,NC,2,4
Chris Christie,NC,3,9
Ted Cruz,NC,1,12
Ted Cruz,NC,2,9
Ted Cruz,NC,3,11
Carly Fiorina,NC,1,10
Carly Fiorina,NC,2,8
Carly Fiorina,NC,3,11
Jim Gilmore,NC,1,2
Jim Gilmore,NC,2,14
Jim Gilmore,NC,3,9
Lindsey Graham,NC,1,2
Lindsey Graham,NC,2,12
Lindsey Graham,NC,3,3
Mike Huckabee,NC,1,12
Mike Huckabee,NC,2,3
Mike Huckabee,NC,3,4
Bobby Jindal,NC,1,15
Bobby Jindal,NC,2,3
Bobby Jindal,NC,3,13
John Kasich,NC,1,7
John Kasich,NC,2,9
John Kasich,NC,3,12
George Pataki,NC,1,1
George Pataki,NC,2,5
George Pataki,NC,3,2
Rand Paul,NC,1,6
Rand Paul,NC,2,15
Rand Paul,NC,3,8
Marco Rubio,NC,1,3
Marco Rubio,NC,2,14
Marco Rubio,NC,3,9
Rick Santorum,NC,1,11
Rick Santorum,NC,2,15
Rick Santorum,NC,3,13
Donald Trump,NC,1,4
Donald Trump,NC,2,15
Donald Trump,NC,3,6
Jeb Bush,ND,1,10
Jeb Bush,ND,2,10
Jeb Bush,ND,3,2
Ben Carson,ND,1,14
Ben Carson,ND,2,12
Ben Carson,ND,3,11
Chris Christie,ND,1,7
Chris Christie,ND,2,7
Chris Christie,ND,3,3
Ted Cruz,ND,1,2
Ted Cruz,ND,2,7
Ted Cruz,ND,3,8
Carly Fiorina,ND,1,13
Carly Fiorina,ND,2,6
Carly Fiorina,ND,3,10
Jim Gilmore,ND,1,10
Jim Gilmore,ND,2,5
Jim Gilmore,ND,3,14
Lindsey Graham,ND,1,7
Lindsey Graham,ND,2,4
Lindsey Graham,ND,3,12
Mike Huckabee,ND,1,15
Mike Huckabee,ND,2,10
Mike Huckabee,ND,3,12
Bobby Jindal,ND,1,1
Bobby Jindal,ND,2,7
Bobby Jindal,ND,3,12
John Kasich,ND,1,4
John Kasich,ND,2,9
John Kasich,ND,3,15
George Pataki,ND,1,3
George Pataki,ND,2,5
George Pataki,ND,3,4
Rand Paul,ND,1,1
Rand Paul,ND,2,14
Rand Paul,ND,3,12
Marco Rubio,ND,1,9
Marco Rubio,ND,2,9
Marco Rubio,ND,3,1
Rick Santorum,ND,1,13
Rick Santorum,ND,2,15
Rick Santorum,ND,3,4
Donald Trump,ND,1,8
Donald Trump,ND,2,11
Donald Trump,ND,3,9
Jeb Bush,OH,1,1
Jeb Bush,OH,2,13
Jeb Bush,OH,3,6
Ben Carson,OH,1,8
Ben Carson,OH,2,7
Ben Carson,OH,3,8
Chris Christie,OH,1,11
Chris Christie,OH,2,2
Chris Christie,OH,3,15
Ted Cruz,OH,1,4
Ted Cruz,OH,2,15
Ted Cruz,OH,3,11
Carly Fiorina,OH,1,11
Carly Fiorina,OH,2,14
Carly Fiorina,OH,3,12
Jim Gilmore,OH,1,2
Jim Gilmore,OH,2,8
Jim Gilmore,OH,3,3
Lindsey Graham,OH,1,13
Lindsey Graham,OH,2,7
Lindsey Graham,OH,3,9
Mike Huckabee,OH,1,14
Mike Huckabee,OH,2,4
Mike Huckabee,OH,3,13
Bobby Jindal,OH,1,2
Bobby Jindal,OH,2,12
Bobby Jindal,OH,3,12
John Kasich,OH,1,12
John Kasich,OH,2,12
John Kasich,OH,3,13
George Pataki,OH,1,14
George Pataki,OH,2,6
George Pataki,OH,3,7
Rand Paul,OH,1,13
Rand Paul,OH,2,7
Rand Paul,OH,3,2
Marco Rubio,OH,1,2
Marco Rubio,OH,2,3
Marco Rubio,OH,3,3
Rick Santorum,OH,1,6
Rick Santorum,OH,2,3
Rick Santorum,OH,3,2
Donald Trump,OH,1,7
Donald Trump,OH,2,6
Donald Trump,OH,3,12
Jeb Bush,OK,1,10
Jeb Bush,OK,2,6
Jeb Bush,OK,3,13
Ben Carson,OK,1,11
Ben Carson,OK,2,10
Ben Carson,OK,3,15
Chris Christie,OK,1,6
Chris Christie,OK,2,10
Chris Christie,OK,3,3
Ted Cruz,OK,1,6
Ted Cruz,OK,2,7
Ted Cruz,OK,3,1
Carly Fiorina,OK,1,14
Carly Fiorina,OK,2,12
Carly Fiorina,OK,3,10
Jim Gilmore,OK,1,8
Jim Gilmore,OK,2,8
Jim Gilmore,OK,3,6
Lindsey Graham,OK,1,7
Lindsey Graham,OK,2,3
Lindsey Graham,OK,3,3
Mike Huckabee,OK,1,5
Mike Huckabee,OK,2,14
Mike Huckabee,OK,3,15
Bobby Jindal,OK,1,5
Bobby Jindal,OK,2,7
Bobby Jindal,OK,3,3
John Kasich,OK,1,1
John Kasich,OK,2,4
John Kasich,OK,3,5
George Pataki,OK,1,7
George Pataki,OK,2,8
George Pataki,OK,3,15
Rand Paul,OK,1,11
Rand Paul,OK,2,13
Rand Paul,OK,3,5
Marco Rubio,OK,1,5
Marco Rubio,OK,2,10
Marco Rubio,OK,3,3
Rick Santorum,OK,1,6
Rick Santorum,OK,2,3
Rick Santorum,OK,3,10
Donald Trump,OK,1,14
Donald Trump,OK,2,13
Donald Trump,OK,3,14
Jeb Bush,OR,1,4
Jeb Bush,OR,2,15
Jeb Bush,OR,3,4
Ben Carson,OR,1,12
Ben Carson,OR,2,12
Ben Carson,OR,3,4
Chris Christie,OR,1,15
Chris Christie,OR,2,6
Chris Christie,OR,3,10
Ted Cruz,OR,1,14
Ted Cruz,OR,2,1
Ted Cruz,OR,3,13
Carly Fiorina,OR,1,10
Carly Fiorina,OR,2,15
Carly Fiorina,OR,3,7
Jim Gilmore,OR,1,6
Jim Gilmore,OR,2,11
Jim Gilmore,OR,3,6
Lindsey Graham,OR,1,2
Lindsey Graham,OR,2,4
Lindsey Graham,OR,3,11
Mike Huckabee,OR,1,14
Mike Huckabee,OR,2,12
Mike Huckabee,OR,3,4
Bobby Jindal,OR,1,5
Bobby Jindal,OR,2,4
Bobby Jindal,OR,3,1
John Kasich,OR,1,9
John Kasich,OR,2,7
John Kasich,OR,3,7
George Pataki,OR,1,13
George Pataki,OR,2,14
George Pataki,OR,3,2
Rand Paul,OR,1,12
Rand Paul,OR,2,15
Rand Paul,OR,3,15
Marco Rubio,OR,1,3
Marco Rubio,OR,2,11
Marco Rubio,OR,3,2
Rick Santorum,OR,1,13
Rick Santorum,OR,2,9
Rick Santorum,OR,3,4
Donald Trump,OR,1,4
Donald Trump,OR,2,1
Donald Trump,OR,3,7
Jeb Bush,PA,1,2
Jeb Bush,PA,2,13
Jeb Bush,PA,3,5
Ben Carson,PA,1,7
Ben Carson,PA,2,14
Ben Carson,PA,3,2
Chris Christie,PA,1,11
Chris Christie,PA,2,6
Chris Christie,PA,3,11
Ted Cruz,PA,1,13
Ted Cruz,PA,2,14
Ted Cruz,PA,3,1
Carly Fiorina,PA,1,5
Carly Fiorina,PA,2,11
Carly Fiorina,PA,3,8
Jim Gilmore,PA,1,2
Jim Gilmore,PA,2,9
Jim Gilmore,PA,3,12
Lindsey Graham,PA,1,13
Lindsey Graham,PA,2,6
Lindsey Graham,PA,3,11
Mike Huckabee,PA,1,4
Mike Huckabee,PA,2,1
Mike Huckabee,PA,3,5
Bobby Jindal,PA,1,5
Bobby Jindal,PA,2,3
Bobby Jindal,PA,3,6
John Kasich,PA,1,1
John Kasich,PA,2,3
John Kasich,PA,3,1
George Pataki,PA,1,11
George Pataki,PA,2,7
George Pataki,PA,3,9
Rand Paul,PA,1,14
Rand Paul,PA,2,7
Rand Paul,PA,3,2
Marco Rubio,PA,1,3
Marco Rubio,PA,2,10
Marco Rubio,PA,3,5
Rick Santorum,PA,1,14
Rick Santorum,PA,2,5
Rick Santorum,PA,3,6
Donald Trump,PA,1,13
Donald Trump,PA,2,10
Donald Trump,PA,3,3
Jeb Bush,RI,1,6
Jeb Bush,RI,2,15
Jeb Bush,RI,3,13
Ben Carson,RI,1,10
Ben Carson,RI,2,10
Ben Carson,RI,3,15
Chris Christie,RI,1,7
Chris Christie,RI,2,11
Chris Christie,RI,3,5
Ted Cruz,RI,1,15
Ted Cruz,RI,2,8
Ted Cruz,RI,3,12
Carly Fiorina,RI,1,4
Carly Fiorina,RI,2,2
Carly Fiorina,RI,3,1
Jim Gilmore,RI,1,4
Jim Gilmore,RI,2,14
Jim Gilmore,RI,3,2
Lindsey Graham,RI,1,9
Lindsey Graham,RI,2,14
Lindsey Graham,RI,3,2
Mike Huckabee,RI,1,11
Mike Huckabee,RI,2,3
Mike Huckabee,RI,3,3
Bobby Jindal,RI,1,11
Bobby Jindal,RI,2,14
Bobby Jindal,RI,3,4
John Kasich,RI,1,14
John Kasich,RI,2,4
John Kasich,RI,3,13
George Pataki,RI,1,4
George Pataki,RI,2,2
George Pataki,RI,3,8
Rand Paul,RI,1,9
Rand Paul,RI,2,13
Rand Paul,RI,3,14
Marco Rubio,RI,1,4
Marco Rubio,RI,2,11
Marco Rubio,RI,3,12
Rick Santorum,RI,1,10
Rick Santorum,RI,2,10
Rick Santorum,RI,3,6
Donald Trump,RI,1,13
Donald Trump,RI,2,13
Donald Trump,RI,3,2
Jeb Bush,SC,1,11
Jeb Bush,SC,2,6
Jeb Bush,SC,3,14
Ben Carson,SC,1,5
Ben Carson,SC,2,6
Ben Carson,SC,3,10
Chris Christie,SC,1,1
Chris Christie,SC,2,12
Chris Christie,SC,3,12
Ted Cruz,SC,1,15
Ted Cruz,SC,2,5
Ted Cruz,SC,3,5
Carly Fiorina,SC,1,2
Carly Fiorina,SC,2,2
Carly Fiorina,SC,3,5
Jim Gilmore,SC,1,9
Jim Gilmore,SC,2,12
Jim Gilmore,SC,3,11
Lindsey Graham,SC,1,6
Lindsey Graham,SC,2,14
Lindsey Graham,SC,3,2
Mike Huckabee,SC,1,12
Mike Huckabee,SC,2,12
Mike Huckabee,SC,3,6
Bobby Jindal,SC,1,1
Bobby Jindal,SC,2,2
Bobby Jindal,SC,3,1
John Kasich,SC,1,9
John Kasich,SC,2,15
John Kasich,SC,3,12
George Pataki,SC,1,11
George Pataki,SC,2,6
George Pataki,SC,3,10
Rand Paul,SC,1,10
Rand Paul,SC,2,5
Rand Paul,SC,3,10
Marco Rubio,SC,1,8
Marco Rubio,SC,2,9
Marco Rubio,SC,3,11
Rick Santorum,SC,1,15
Rick Santorum,SC,2,4
Rick Santorum,SC,3,13
Donald Trump,SC,1,12
Donald Trump,SC,2,8
Donald Trump,SC,3,4
Jeb Bush,SD,1,15
Jeb Bush,SD,2,3
Jeb Bush,SD,3,13
Ben Carson,SD,1,13
Ben Carson,SD,2,14
Ben Carson,SD,3,4
Chris Christie,SD,1,11
Chris Christie,SD,2,13
Chris Christie,SD,3,5
Ted Cruz,SD,1,10
Ted Cruz,SD,2,5
Ted Cruz,SD,3,8
Carly Fiorina,SD,1,9
Carly Fiorina,SD,2,7
Carly Fiorina,SD,3,7
Jim Gilmore,SD,1,14
Jim Gilmore,SD,2,14
Jim Gilmore,SD,3,10
Lindsey Graham,SD,1,13
Lindsey Graham,SD,2,13
Lindsey Graham,SD,3,5
Mike Huckabee,SD,1,2
Mike Huckabee,SD,2,7
Mike Huckabee,SD,3,9
Bobby Jindal,SD,1,3
Bobby Jindal,SD,2,5
Bobby Jindal,SD,3,12
John Kasich,SD,1,14
John Kasich,SD,2,7
John Kasich,SD,3,11
George Pataki,SD,1,10
George Pataki,SD,2,13
George Pataki,SD,3,12
Rand Paul,SD,1,7
Rand Paul,SD,2,2
Rand Paul,SD,3,3
Marco Rubio,SD,1,10
Marco Rubio,SD,2,15
Marco Rubio,SD,3,11
Rick Santorum,SD,1,13
Rick Santorum,SD,2,12
Rick Santorum,SD,3,7
Donald Trump,SD,1,2
Donald Trump,SD,2,14
Donald Trump,SD,3,13
Jeb Bush,TN,1,6
Jeb Bush,TN,2,14
Jeb Bush,TN,3,3
Ben Carson,TN,1,8
Ben Carson,TN,2,14
Ben Carson,TN,3,7
Chris Christie,TN,1,4
Chris Christie,TN,2,9
Chris Christie,TN,3,9
Ted Cruz,TN,1,5
Ted Cruz,TN,2,2
Ted Cruz,TN,3,5
Carly Fiorina,TN,1,7
Carly Fiorina,TN,2,13
Carly Fiorina,TN,3,12
Jim Gilmore,TN,1,10
Jim Gilmore,TN,2,11
Jim Gilmore,TN,3,13
Lindsey Graham,TN,1,13
Lindsey Graham,TN,2,15
Lindsey Graham,TN,3,6
Mike Huckabee,TN,1,8
Mike Huckabee,TN,2,4
Mike Huckabee,TN,3,8
Bobby Jindal,TN,1,14
Bobby Jindal,TN,2,5
Bobby Jindal,TN,3,2
John Kasich,TN,1,10
John Kasich,TN,2,1
John Kasich,TN,3,4
George Pataki,TN,1,8
George Pataki,TN,2,7
George Pataki,TN,3,9
Rand Paul,TN,1,7
Rand Paul,TN,2,4
Rand Paul,TN,3,15
Marco Rubio,TN,1,1
Marco Rubio,TN,2,7
Marco Rubio,TN,3,9
Rick Santorum,TN,1,12
Rick Santorum,TN,2,7
Rick Santorum,TN,3,2
Donald Trump,TN,1,13
Donald Trump,TN,2,6
Donald Trump,TN,3,3
Jeb Bush,TX,1,11
Jeb Bush,TX,2,13
Jeb Bush,TX,3,5
Ben Carson,TX,1,2
Ben Carson,TX,2,11
Ben Carson,TX,3,6
Chris Christie,TX,1,6
Chris Christie,TX,2,6
Chris Christie,TX,3,2
Ted Cruz,TX,1,1
Ted Cruz,TX,2,11
Ted Cruz,TX,3,1
Carly Fiorina,TX,1,10
